Departamentos,Codigo DANE - Depto,Municipio,Codigo DANE - Mpio,Agroforestal (Ha),ConservaciOn de Suelos  (Ha),Ganadera (Ha),Vocacion (0 No hay - 1 hay algo),Predios <10 cab,Predios 11 - 25 cab,Predios 26-50 cab,Predios 51-100 cab,Predios 101-250 cab,Predios 251-500 cab,Predios 501-1000 cab,Predios >1000 cab,Total predios,% predios 11-50 cab,Terneras < 12 Meses,Terneros < 12 Meses,Hembras 12 - 24 Meses,Machos 12 - 24 Meses,Hembras 24 - 36 Meses,Machos 24 - 36 Meses,Hembras > 36 Meses,Machos > 36 Meses,# Machos,% Machos,# Hembras,% Hembras,Total Bovinos - 2017,Total Area sembrada de cultivos agroindustriales (ha),Total Area sembrada de cultivos de plAtano y tubErculos,Total Area sembrada de frutas,Total Area sembrada de cultivos de cereales,"Total Area sembrada en flores, hortalizas, verduras y legumbres, plantas aromaticas y medcinales",Area total sembrada del sector agricola,# Cabezas/ Ha sembrada,Sub-regiOn estratEgica (0-1),Emisiones Sector AgrIcola (Miles de ton CO2 eq),Emisiones Sector Forestal (Miles de ton CO2 eq),Sector Pecuario (Miles de ton CO2 eq),Emisiones Sub-sector Ganadero (Miles de ton CO2 eq),Diferencia Sector pecuario - S-Sec GanaderIa (Miles de ton CO2 eq),Sub-Sec. Gan. / Agri. + Forst.x + Dif S Pec-S Gan (%),Total Emisiones Brutas (Miles de toneladas de CO2 equivalente),Total  Absorciones (Miles toneladas de CO2 equivalente),Balance Municipal (miles Ton/aNo),Absorciones / Emisiones
BOYACA,15,TASCO,15790,787,11805,57,1,286,111,20,7,1,0,0,0,425,0.31,433,627,383,374,294,377,1922,140,1518,0.33,3032,0.67,4550,7,136,62,543,6826,7574,0.6,0,3,8.9,4,3,1.5,0.22,42.7,-3.37,39.33,0.08
BOYACA,15,TENZA,15798,0,0,0,0,332,90,8,1,0,0,0,0,431,0.23,267,315,386,434,201,446,1039,127,1322,0.41,1893,0.59,3215,363,33,60,376,144,975,3.3,0,15.2,5.5,6,2,3.7,0.08,54.68,-5.89,48.79,0.11
BOYACA,15,TIBANA,15804,786,0,0,1,667,72,22,3,0,0,0,0,764,0.12,584,587,524,446,616,510,1790,311,1854,0.35,3514,0.65,5368,368,446,1913,440,350,3518,1.5,0,2,14.1,5,3.3,1.5,0.19,36.33,-1.39,34.94,0.04
BOYACA,15,TIBASOSA,15806,0,668,2181,1,389,98,25,19,5,0,0,0,536,0.23,653,619,927,382,354,182,2909,94,1277,0.21,4843,0.79,6120,0,235,416,48,476,1176,5.2,0,54.5,16.3,9,4.2,5,0.06,395.14,-24.65,370.5,0.06
BOYACA,15,TINJACA,15808,0,2105,0,0,367,50,4,0,0,0,0,0,421,0.13,387,331,279,171,182,68,1055,7,577,0.23,1903,0.77,2480,7,54,113,9,64,247,10,0,4,6,3,1.5,1.6,0.13,20.07,-2.07,18,0.1
BOYACA,15,TIPACOQUE,15810,0,2195,0,0,353,65,10,0,0,0,0,0,428,0.18,340,344,219,188,446,259,1169,260,1051,0.33,2174,0.67,3225,263,2,109,314,59,747,4.3,0,1.3,4.5,3,2.1,0.8,0.31,14.86,-0.95,13.92,0.06
BOYACA,15,TOCA,15814,644,5300,0,1,617,171,28,12,2,1,0,0,831,0.24,959,755,1204,603,545,459,3950,223,2040,0.23,6658,0.77,8698,2674,974,68,658,285,4659,1.9,0,28.8,12.1,9,6,3.5,0.13,69.45,-10.63,58.82,0.15
BOYACA,15,TOGÜI,15816,2093,0,0,1,93,38,14,5,2,0,0,0,152,0.34,449,359,400,145,149,47,838,98,649,0.26,1836,0.74,2485,2458,34,242,15,2,2751,0.9,0,6.4,11,2,1.4,0.7,0.08,28.06,-2.67,25.39,0.1
BOYACA,15,TOPAGA,15820,0,609,0,0,125,16,4,0,0,0,0,0,145,0.14,218,212,153,80,65,13,506,13,318,0.25,942,0.75,1260,0,0,16,5,313,334,3.8,0,1.3,4.2,1,0.7,0.5,0.12,23.25,-16.87,6.37,0.73
BOYACA,15,TOTA,15822,3351,10623,231,1,593,156,14,1,1,0,0,0,765,0.22,597,763,649,529,549,228,2399,66,1586,0.27,4194,0.73,5780,0,396,199,17,422,1033,5.6,0,6.7,9.5,4,3.7,0.4,0.22,30.48,-3.12,27.37,0.1
BOYACA,15,TUNJA,15001,0,1615,0,0,475,116,29,16,5,0,0,0,641,0.23,502,520,919,1042,536,594,1985,266,2422,0.38,3942,0.62,6364,0,2341,117,244,120,2823,2.3,0,110.8,13.9,7,4,3,0.03,564.86,-38.98,525.88,0.07
BOYACA,15,TUNUNGUA,15832,0,1,0,0,57,15,9,1,0,0,0,0,82,0.29,53,46,24,26,97,86,256,100,258,0.38,430,0.63,688,134,13,543,5,5,700,1,0,1.4,2.6,1,0.5,0.5,0.11,9.1,-0.91,8.19,0.1
BOYACA,15,TURMEQUE,15835,739,717,0,1,333,140,18,8,0,0,0,0,499,0.32,314,535,579,397,441,218,1705,67,1217,0.29,3039,0.71,4256,0,371,2236,349,800,3756,1.1,0,2.9,7.5,5,2.8,2,0.22,28.01,-2.13,25.88,0.08
BOYACA,15,TUTA,15837,0,4198,0,0,806,351,74,34,3,1,0,0,1269,0.33,1571,970,1987,738,2191,855,6883,260,2823,0.18,12632,0.82,15455,133,283,2165,101,247,2930,5.3,0,2.5,12.5,17,10.8,6.3,0.51,262.37,-18.02,244.35,0.07
BOYACA,15,TUTAZA,15839,2925,1998,0,1,175,98,20,2,0,0,0,0,295,0.4,431,558,459,428,207,103,1619,30,1119,0.29,2716,0.71,3835,436,2792,494,238,2378,6338,0.6,0,16,3.2,5,2.4,2.3,0.11,28.64,-6.07,22.57,0.21
BOYACA,15,UMBITA,15842,452,2174,0,1,572,173,19,2,0,0,0,0,766,0.25,913,964,870,577,433,326,2414,102,1969,0.3,4630,0.7,6599,113,694,1719,269,139,2933,2.2,0,7.3,15.9,7,3.9,3.3,0.15,49.62,-3.16,46.47,0.06
BOYACA,15,VENTAQUEMADA,15861,1736,1773,0,1,1123,260,53,14,5,0,0,0,1455,0.22,1709,1340,1522,995,1303,795,5288,412,3542,0.27,9822,0.73,13364,0,7544,979,316,1602,10441,1.3,1,65.2,25.4,12,8.5,3.6,0.09,140.27,-23.3,116.96,0.17
BOYACA,15,VILL DE LEYVA,15407,1196,4778,0,1,233,88,25,2,1,0,0,0,349,0.32,402,410,471,621,418,407,717,82,1520,0.43,2008,0.57,3528,141,22,27,10,44,244,14.5,0,58.7,11.9,5,1.9,2.7,0.03,118.21,-20.94,97.27,0.18
BOYACA,15,VIRACACHA,15879,999,1219,0,1,430,119,15,2,0,0,0,0,566,0.24,734,728,458,458,206,199,1936,25,1410,0.3,3334,0.7,4744,0,2557,1096,1408,85,5146,0.9,0,7,5.3,4,2.8,0.8,0.22,22.4,-2.94,19.46,0.13
BOYACA,15,ZETAQUIRA,15897,2246,1829,0,1,236,144,26,12,1,0,0,0,419,0.41,467,669,439,603,717,738,1494,318,2328,0.43,3117,0.57,5445,2129,26,158,14,10,2338,2.3,0,4.2,6.6,4,3.2,1.1,0.27,25.06,-2,23.06,0.08
CUNDINAMARCA,25,AGUA DE DIOS,25001,2721,0,0,1,79,62,29,15,10,2,0,0,197,0.46,577,518,765,431,106,551,1727,203,1703,0.35,3175,0.65,4878,118,85,29,125,8,366,13.3,0,1,5.2,8,3,5.1,0.27,37.12,-2.04,35.08,0.05
CUNDINAMARCA,25,ALBAN,25019,1257,0,0,1,136,43,25,11,3,1,0,0,219,0.31,410,355,436,347,386,341,1499,137,1180,0.3,2731,0.7,3911,356,294,392,515,657,2214,1.8,0,5,8.5,12,2.5,9.4,0.11,45,-5.81,39.19,0.13
CUNDINAMARCA,25,ANAPOIMA,25035,6481,0,0,1,139,39,20,10,4,0,0,0,212,0.28,198,331,283,391,263,518,814,313,1553,0.5,1558,0.5,3111,486,50,977,1278,228,3018,1,0,2.2,14.4,7,1.9,5.2,0.09,46.35,-2.78,43.58,0.06
CUNDINAMARCA,25,ANOLAIMA,25040,3248,0,0,1,259,71,51,23,8,1,0,0,413,0.3,724,571,864,916,729,931,1698,259,2677,0.4,4015,0.6,6692,954,118,621,196,264,2153,3.1,0,9.6,20.3,9,3.9,5.1,0.11,56.71,-7.08,49.62,0.12
CUNDINAMARCA,25,APULO,25599,2566,0,0,1,95,39,15,8,3,1,0,0,161,0.34,256,229,334,482,356,302,700,146,1159,0.41,1646,0.59,2805,94,11,461,182,3,752,3.7,0,3.2,9.4,5,1.7,3.2,0.11,28.48,-3.28,25.2,0.12
CUNDINAMARCA,25,BELTRAN,25086,7606,0,0,1,32,19,18,6,4,3,0,0,82,0.45,168,174,256,411,308,592,589,205,1382,0.51,1321,0.49,2703,116,2,253,448,13,831,3.3,0,2.8,4.9,6,1.7,4.2,0.14,16.71,-3.09,13.62,0.18
CUNDINAMARCA,25,BITUIMA,25095,1187,0,0,1,163,52,9,3,0,0,0,0,227,0.27,153,229,213,146,346,312,672,232,919,0.4,1384,0.6,2303,702,280,583,67,66,1698,1.4,0,3.5,4.4,4,1.5,2.4,0.14,16.41,-3.45,12.96,0.21
CUNDINAMARCA,25,BOJACA,25099,507,0,0,1,141,43,31,14,7,3,0,0,239,0.31,727,367,860,537,587,356,2270,233,1493,0.25,4444,0.75,5937,2,14492,43,260,324,15121,0.4,0,43.5,5.5,13,3.9,9.2,0.07,79.64,-26.98,52.66,0.34
CUNDINAMARCA,25,CABRERA,25120,12781,9079,0,1,143,91,43,17,3,0,0,0,297,0.45,747,752,520,721,687,1085,1715,341,2899,0.44,3669,0.56,6568,26,117,97,1098,293,1630,4,1,45,7.3,8,3.8,4.6,0.07,67.65,-27.89,39.76,0.41
CUNDINAMARCA,25,CACHIPAY,25123,3428,0,0,1,181,16,15,6,3,0,0,0,221,0.14,196,201,405,296,173,198,751,35,730,0.32,1525,0.68,2255,803,64,628,102,540,2138,1.1,0,5,14.2,6,1.4,5,0.06,40.34,-4.38,35.96,0.11
CUNDINAMARCA,25,CAJICA,25126,109,0,0,1,171,36,17,6,1,0,1,0,232,0.23,512,120,465,126,349,66,1404,17,329,0.11,2730,0.89,3059,0,14,20,20,137,191,16,0,1.2,40.7,9,2.1,6.9,0.04,302.81,-2.31,300.49,0.01
CUNDINAMARCA,25,CAPARRAPI,25148,21345,0,0,1,111,209,205,107,49,6,2,0,689,0.6,2737,3254,4709,5974,2981,2063,9359,610,11901,0.38,19786,0.62,31687,7462,367,391,1327,244,9791,3.2,0,8.7,27.3,36,19.3,17.2,0.36,103.94,-9.22,94.72,0.09
CUNDINAMARCA,25,CAQUEZA,25151,788,0,0,1,777,86,11,3,0,0,0,0,877,0.11,466,613,690,617,482,516,1581,216,1962,0.38,3219,0.62,5181,85,318,58,417,231,1108,4.7,0,109.3,19.5,12,3.1,9.3,0.02,167.98,-65.47,102.51,0.39
CUNDINAMARCA,25,CARMEN DE ARUPA,25154,4356,4944,0,1,1575,261,47,6,1,0,0,0,1890,0.16,731,634,2072,1053,863,534,7014,99,2320,0.18,10680,0.82,13000,2,6202,26,1144,2575,9950,1.3,1,67.2,14.2,18,10.1,7.8,0.11,112.34,-52.85,59.49,0.47
CUNDINAMARCA,25,CHAGUANI,25168,5142,0,0,1,166,109,49,16,1,0,0,0,341,0.46,616,581,625,339,679,392,1831,184,1496,0.29,3751,0.71,5247,1152,562,1066,306,276,3361,1.6,0,9.4,6.5,7,3.2,4.2,0.16,29.06,-7.23,21.84,0.25
CUNDINAMARCA,25,CHIA,25175,834,0,0,1,228,45,5,13,2,3,0,0,296,0.17,730,379,950,358,658,92,1519,12,841,0.18,3857,0.82,4698,302,222,61,292,445,1322,3.6,1,4.3,51.5,8,2.8,5.6,0.05,314.77,-3.97,310.79,0.01
CUNDINAMARCA,25,CHIPAQUE,25178,3475,1458,0,1,277,105,39,7,3,0,0,0,431,0.33,482,553,599,749,585,583,1420,293,2178,0.41,3086,0.59,5264,2,16909,14,185,5032,22142,0.2,1,12,13.2,7,3.1,3.8,0.11,43.76,-8.5,35.26,0.19
CUNDINAMARCA,25,CHOACHI,25181,6208,894,0,1,848,178,28,1,2,0,0,0,1057,0.19,691,950,902,980,536,746,3306,164,2840,0.34,5435,0.66,8275,112,247,58,152,259,829,10,0,8.5,14.4,14,5.4,8.2,0.17,51.7,-6.57,45.13,0.13
CUNDINAMARCA,25,CHOCONTA,25183,8846,164,0,1,1038,271,85,34,21,2,1,0,1452,0.25,2414,1193,2520,966,1836,1011,8622,382,3552,0.19,15392,0.81,18944,6,5358,37,311,262,5974,3.2,0,105.2,23.5,23,13,9.9,0.09,187.24,-63.28,123.96,0.34
CUNDINAMARCA,25,COGUA,25200,1113,0,0,1,529,177,76,34,10,2,0,0,828,0.31,1731,413,2134,781,1119,401,6513,74,1669,0.13,11497,0.87,13166,0,3861,16,170,443,4490,2.9,0,32.7,30.6,18,9.5,8.5,0.13,181.27,-20.91,160.35,0.12
CUNDINAMARCA,25,COTA,25214,0,0,0,0,150,36,24,5,10,0,0,0,225,0.27,603,200,656,191,592,82,1854,3,476,0.11,3705,0.89,4181,0,734,21,324,213,1293,3.2,1,8.3,20,6,2.8,3.6,0.09,308.07,-6.3,301.77,0.02
CUNDINAMARCA,25,CUCUNUBA,25224,1478,0,0,1,503,73,19,3,2,0,0,0,600,0.15,381,291,676,301,179,93,2269,6,691,0.16,3505,0.84,4196,0,410,1,71,67,548,7.7,0,4.6,11.8,6,3.1,3.3,0.16,62.46,-6.61,55.85,0.11
CUNDINAMARCA,25,EL COLEGIO,25245,4857,0,0,1,295,70,29,11,5,1,0,1,412,0.24,649,611,588,495,684,892,1795,233,2231,0.38,3716,0.62,5947,1432,432,1187,213,424,3688,1.6,0,10.8,27,9,3.6,5.2,0.08,86.9,-7.82,79.08,0.09
CUNDINAMARCA,25,EL PENON,25258,6356,0,0,1,132,58,19,2,0,0,0,0,211,0.36,138,277,326,477,351,748,603,109,1611,0.53,1418,0.47,3029,1502,93,760,640,7,3002,1,0,12.8,8.6,9,1.8,7.6,0.06,42.92,-9,33.92,0.21
CUNDINAMARCA,25,ELROSAL,25260,2250,0,0,1,174,77,41,29,14,1,1,0,337,0.35,1458,560,1503,621,1146,253,3750,30,1464,0.16,7857,0.84,9321,0,643,3,178,788,1612,5.8,0,44.2,9.2,17,6,11.3,0.09,99.41,-27.52,71.89,0.28
CUNDINAMARCA,25,FACATATIVA,25269,1893,0,0,1,350,115,81,51,35,3,0,0,635,0.31,2363,988,2531,1407,2052,742,7033,396,3533,0.2,13979,0.8,17512,0,880,40,645,1421,2986,5.9,0,33.6,26.7,31,11.6,19.1,0.15,340.35,-32.35,308,0.1
CUNDINAMARCA,25,FOMEQUE,25279,8992,14964,0,1,643,158,32,10,2,0,0,0,845,0.22,138,287,606,803,1257,3026,1299,271,4387,0.57,3300,0.43,7687,91,8,88,199,573,959,8,1,27.4,18.8,25,4.8,20.5,0.07,90.59,-17.92,72.66,0.2
CUNDINAMARCA,25,FOSCA,25281,948,0,0,1,527,51,11,0,0,0,0,0,589,0.11,195,429,221,376,170,494,1274,113,1412,0.43,1860,0.57,3272,128,1001,26,233,485,1873,1.7,0,55,10.8,9,2.1,6.6,0.03,85.29,-33.77,51.52,0.4
CUNDINAMARCA,25,FUNZA,25286,0,0,0,0,74,36,37,15,22,2,2,0,188,0.39,1232,338,1352,459,1349,255,4352,22,1074,0.11,8285,0.89,9359,0,591,12,657,411,1671,5.6,0,61.6,8.9,14,6.6,7.9,0.08,397.14,-37.64,359.5,0.09
CUNDINAMARCA,25,FÚQUENE,25288,973,0,0,1,616,251,49,21,11,2,0,0,950,0.32,1426,212,1987,203,1146,64,7000,12,491,0.04,11559,0.96,12050,2,151,11,130,48,342,35.2,0,8.6,10.3,11,9.4,2,0.45,40.07,-6.63,33.44,0.17
CUNDINAMARCA,25,FUSAGASUGA,25290,4069,0,144,1,604,163,74,43,11,1,1,0,897,0.26,1337,1087,1999,2351,1113,1203,3907,319,4960,0.37,8356,0.63,13316,691,120,744,328,718,2600,5.1,0,23.4,55.3,53,8.1,44.8,0.07,323.52,-15.91,307.62,0.05
CUNDINAMARCA,25,GACHALA,25293,8090,959,0,1,683,192,22,6,0,0,0,0,903,0.24,405,801,866,825,961,1000,2546,963,3589,0.43,4778,0.57,8367,641,59,1,281,204,1185,7.1,0,1.6,18.9,35,5.4,30,0.11,63.83,-2.88,60.95,0.05
CUNDINAMARCA,25,GACHANCIPA,25295,0,0,0,0,149,39,16,19,17,3,0,0,243,0.23,976,156,765,167,1205,139,3448,53,515,0.07,6394,0.93,6909,0,12,3,157,270,443,15.6,0,0.1,11.1,11,5,6.4,0.28,60.88,-1.59,59.29,0.03
CUNDINAMARCA,25,GACHETA,25297,10613,1706,0,1,967,201,46,6,1,0,0,0,1221,0.2,394,1342,1356,1452,1782,2519,2167,470,5783,0.5,5699,0.5,11482,567,95,48,240,164,1114,10.3,1,8.3,14.3,21,6.6,14,0.18,57.86,-9.28,48.59,0.16
CUNDINAMARCA,25,GAMA,25299,1648,0,0,1,457,78,17,0,0,0,0,0,552,0.17,264,445,397,617,399,598,1171,248,1908,0.46,2231,0.54,4139,434,36,22,572,126,1190,3.5,0,1.1,6.2,5,2.6,2.7,0.26,17.46,-2.18,15.28,0.12
CUNDINAMARCA,25,GIRARDOT,25307,280,0,0,0,54,25,14,10,8,5,0,0,116,0.34,509,590,534,496,316,1020,1622,122,2228,0.43,2981,0.57,5209,29,0,37,51,0,118,44.1,1,0.6,6.8,8,3.1,4.4,0.27,185.18,-1.82,183.35,0.01
CUNDINAMARCA,25,GRANADA,25312,2046,0,0,1,129,60,27,18,6,3,0,0,243,0.36,638,347,887,586,746,580,1786,24,1537,0.27,4057,0.73,5594,0,218,110,154,149,632,8.8,0,24,13,4,3.5,0.7,0.09,53.24,-15.48,37.76,0.29
CUNDINAMARCA,25,GUACHETA,25317,4652,13,41,1,719,228,55,45,23,3,2,0,1075,0.26,1988,206,1946,292,1847,304,11261,93,895,0.05,17042,0.95,17937,5,143,3,403,171,724,24.8,1,6,16.4,18,14.5,3.2,0.57,76.77,-5.74,71.02,0.07
CUNDINAMARCA,25,GUADUAS,25320,19873,0,0,1,279,256,218,154,66,18,8,0,999,0.47,4914,5165,6566,5146,5302,2127,15344,1089,13527,0.3,32126,0.7,45653,2125,549,482,776,499,4431,10.3,1,29.4,48.6,76,27.9,48.2,0.22,238.39,-19.84,218.56,0.08
CUNDINAMARCA,25,GUASCA,25322,4183,9237,0,1,749,175,62,34,18,0,1,0,1039,0.23,1398,276,2489,564,1654,453,7979,163,1456,0.1,13520,0.9,14976,9,82,39,1452,453,2035,7.4,0,34.8,18.5,17,11.5,5.6,0.2,92.23,-134.42,-42.19,1.46
CUNDINAMARCA,25,GUATAQUI,25324,624,0,0,1,24,25,12,2,2,1,0,0,66,0.56,122,179,171,191,229,141,619,42,553,0.33,1141,0.67,1694,1179,173,155,480,56,2044,0.8,0,2.8,4.3,3,1.1,1.9,0.12,13.44,-3.03,10.41,0.23
CUNDINAMARCA,25,GUATAVITA,25326,3210,1939,0,1,594,154,28,6,1,0,0,0,783,0.23,647,275,767,264,219,120,4516,20,679,0.1,6149,0.9,6828,0,561,18,101,339,1020,6.7,0,43.4,9.9,8,5.6,2.3,0.1,74.09,-26.87,47.21,0.36
CUNDINAMARCA,25,GUAYABAL DE SIQUIMA,25328,2314,0,0,1,112,49,28,2,0,0,0,0,191,0.4,169,226,389,419,191,253,630,92,990,0.42,1379,0.58,2369,1826,664,590,193,135,3408,0.7,0,5.9,5.4,9,1.4,7.1,0.08,26.82,-4.97,21.85,0.19
CUNDINAMARCA,25,GUAYABETAL,25335,302,1615,0,0,196,62,10,2,0,0,0,0,270,0.27,183,307,335,370,114,233,714,155,1065,0.44,1346,0.56,2411,221,2,12,4,9,248,9.7,0,1.8,11.2,4,1.5,2.9,0.09,24.46,-2.46,22,0.1
CUNDINAMARCA,25,GUTIERREZ,25339,5,16071,0,0,294,96,13,3,0,0,0,0,406,0.27,349,457,217,386,298,434,1423,328,1605,0.41,2287,0.59,3892,305,351,3,482,666,1807,2.2,1,41.4,13.7,3,2.5,1,0.04,64.29,-25.65,38.64,0.4
CUNDINAMARCA,25,JERUSALEN,25368,4771,0,0,1,84,61,22,14,4,0,0,0,185,0.45,165,209,198,688,341,932,1011,139,1968,0.53,1715,0.47,3683,268,112,219,927,1,1527,2.4,0,8.5,8.8,6,2.4,4,0.11,29.14,-6.42,22.71,0.22
CUNDINAMARCA,25,JUNIN,25372,9874,4630,84,1,961,347,63,12,0,0,0,0,1383,0.3,1150,1452,1609,1511,1396,1561,3932,704,5228,0.39,8087,0.61,13315,488,42,78,1254,380,2242,5.9,1,11.6,16.7,17,8.1,9,0.22,56.38,-8.63,47.75,0.15
CUNDINAMARCA,25,LA CALERA,25377,6873,1430,0,1,591,310,128,45,11,1,0,0,1086,0.4,1866,1207,2639,1255,2146,967,6882,325,3754,0.22,13533,0.78,17287,1,862,23,111,324,1321,13.1,1,92.6,31.1,20,11.5,8.7,0.09,223.1,-57.18,165.92,0.26
CUNDINAMARCA,25,LA MESA,25386,6542,0,0,1,247,53,30,18,4,0,0,0,352,0.24,453,492,691,893,488,448,1398,142,1975,0.39,3030,0.61,5005,4976,115,1236,270,198,6795,0.7,0,11.4,31.3,13,3,10.3,0.06,223.73,-8.21,215.52,0.04
CUNDINAMARCA,25,LA PALMA,25394,3648,0,0,1,121,92,27,11,2,0,0,0,253,0.47,240,565,552,769,582,903,635,180,2417,0.55,2009,0.45,4426,2719,941,175,496,520,4851,0.9,0,18.3,12.6,4,2.4,2,0.07,54.74,-12.11,42.62,0.22
CUNDINAMARCA,25,LA PENA,25398,3991,0,0,1,31,23,7,2,2,0,0,0,65,0.46,74,72,174,625,63,92,337,51,840,0.56,648,0.44,1488,4365,175,202,304,10,5056,0.3,0,2.5,13.2,1,0.9,0.4,0.06,40.75,-2.85,37.9,0.07
CUNDINAMARCA,25,LA VEGA,25402,4567,0,0,1,234,109,39,18,4,2,0,0,406,0.36,561,352,992,918,687,835,2175,353,2458,0.36,4415,0.64,6873,757,253,337,143,159,1648,4.2,0,7,18.4,12,4.5,7.2,0.14,59.23,-5.66,53.57,0.1
CUNDINAMARCA,25,LENGUAZAQUE,25407,2809,1825,0,1,591,181,19,13,8,2,1,0,815,0.25,1070,566,1221,458,712,136,5903,19,1179,0.12,8906,0.88,10085,0,2979,0,193,385,3557,2.8,0,16.5,15.6,11,7.7,3.4,0.22,97.76,-11.29,86.47,0.12
CUNDINAMARCA,25,MACHETA,25426,6665,1480,0,1,346,95,29,1,1,0,0,0,472,0.26,437,493,643,452,685,353,1335,178,1476,0.32,3100,0.68,4576,161,343,155,20,19,698,6.6,0,61.5,9.8,5,2.7,1.8,0.04,85.3,-37.46,47.84,0.44
CUNDINAMARCA,25,MADRID,25430,0,0,0,0,162,55,49,35,24,7,0,1,333,0.31,2014,454,2316,1072,2147,356,5572,185,2067,0.15,12049,0.85,14116,0,697,38,1006,942,2683,5.3,0,96.4,19.8,18,9.4,8.8,0.08,353.99,-58.04,295.94,0.16
CUNDINAMARCA,25,MANTA,25436,5234,0,0,1,276,46,8,8,1,0,0,0,339,0.16,183,295,191,201,227,485,975,242,1223,0.44,1576,0.56,2799,372,296,71,526,177,1443,1.9,0,3.5,6.7,4,1.8,1.8,0.15,20.11,-3.48,16.63,0.17
CUNDINAMARCA,25,MEDINA,25438,22197,458,0,1,174,381,322,202,82,10,2,0,1173,0.6,3783,3925,2821,4378,6570,14818,12601,7722,30843,0.54,25775,0.46,56618,323,551,56,385,204,1520,37.3,1,2.4,21.3,58,34.9,23.5,0.74,95.89,-3.71,92.18,0.04
CUNDINAMARCA,25,MOSQUERA,25473,33,0,0,1,59,17,18,19,32,4,0,0,149,0.23,1203,351,1184,470,1154,359,3926,76,1256,0.14,7467,0.86,8723,0,264,40,1055,596,1955,4.5,1,7.4,6.7,10,6,3.7,0.34,356.27,-5.86,350.41,0.02
CUNDINAMARCA,25,NARINO,25483,147,0,0,0,13,12,8,6,2,0,1,0,42,0.48,63,101,150,123,106,407,281,126,757,0.56,600,0.44,1357,3,0,1,4,4,12,115.3,0,2.1,2,11,0.8,10.6,0.06,18.53,-2.75,15.78,0.15
CUNDINAMARCA,25,NEMOCON,25486,0,0,0,0,171,49,39,31,36,2,1,0,329,0.27,1684,263,1899,210,1228,338,6476,97,908,0.07,11287,0.93,12195,2,8,0,94,386,490,24.9,0,0.7,16.2,18,9,8.8,0.35,56.51,-3.58,52.93,0.06
CUNDINAMARCA,25,NILO,25488,8302,0,0,1,110,40,31,15,11,1,0,0,208,0.34,337,350,497,593,584,498,1654,632,2073,0.4,3072,0.6,5145,568,7,651,176,47,1449,3.5,0,3.9,32.5,11,3.4,7.9,0.08,72.44,-3.79,68.65,0.05
CUNDINAMARCA,25,NIMAIMA,25489,1786,0,0,1,45,33,5,3,0,1,0,0,87,0.44,89,89,157,501,121,294,258,32,916,0.59,625,0.41,1541,1280,1,33,0,25,1340,1.2,0,0.7,7.1,1,0.9,0.4,0.11,17.07,-1.78,15.29,0.1
CUNDINAMARCA,25,NOCAIMA,25491,3463,0,0,1,87,35,9,3,1,0,0,0,135,0.33,122,173,201,399,138,102,521,40,714,0.42,982,0.58,1696,2307,15,109,3,16,2450,0.7,0,0.4,11.9,2,1.1,1.2,0.08,36.53,-1.73,34.8,0.05
CUNDINAMARCA,25,PACHO,25513,5257,66,0,1,915,314,108,55,17,2,0,0,1411,0.3,1845,1902,2971,2337,2780,2359,6281,341,6939,0.33,13877,0.67,20816,1492,967,1279,319,899,4955,4.2,0,25.9,24,28,12.8,15.4,0.2,117.34,-18.55,98.79,0.16
CUNDINAMARCA,25,PAIME,25518,6338,0,0,1,150,71,13,7,1,0,0,0,242,0.35,243,314,477,389,427,378,1016,203,1284,0.37,2163,0.63,3447,1800,643,555,583,85,3666,0.9,0,12.2,8.3,3,2.2,1.3,0.1,30.54,-8.53,22,0.28
CUNDINAMARCA,25,PANDI,25524,4527,735,0,1,119,41,11,8,1,1,0,0,181,0.29,247,234,263,372,235,225,954,88,919,0.35,1699,0.65,2618,274,18,185,366,63,906,2.9,0,2.6,10.4,5,1.7,3.3,0.1,25.74,-2.93,22.81,0.11
CUNDINAMARCA,25,PARATEBUENO,25530,20269,0,0,1,65,134,151,97,82,33,18,3,583,0.49,4792,4180,5505,7893,5811,12122,15129,8700,32895,0.51,31237,0.49,64132,4437,72,575,2407,259,7749,8.3,1,153.9,11.9,64,39.8,24.6,0.21,244.84,-92.45,152.39,0.38
CUNDINAMARCA,25,PASCA,25535,5354,5136,0,1,358,193,82,24,2,0,0,0,659,0.42,814,909,964,1013,1699,1367,1672,411,3700,0.42,5149,0.58,8849,0,4314,231,239,425,5209,1.7,0,29.5,19,10,4.9,5.2,0.09,74.28,-18.79,55.49,0.25
CUNDINAMARCA,25,PUERTO SALGAR,25572,7055,0,0,1,38,79,94,73,79,47,14,2,426,0.41,4266,4319,6970,10436,5647,9978,13661,916,25649,0.46,30544,0.54,56193,37,353,416,174,205,1185,47.4,1,3.9,11.3,57,33.8,23.3,0.88,105.52,-4.55,100.98,0.04
CUNDINAMARCA,25,PULI,25580,7880,0,0,1,86,59,30,13,5,0,0,0,193,0.46,367,327,512,419,555,379,1274,130,1255,0.32,2708,0.68,3963,1235,723,1552,531,81,4123,1,0,8.2,7.2,6,2.5,3.8,0.13,33.05,-6.23,26.82,0.19
CUNDINAMARCA,25,QUEBRADANEGRA,25592,2933,0,0,1,128,47,15,5,0,0,0,0,195,0.32,203,236,218,455,343,187,591,81,959,0.41,1355,0.59,2314,3700,37,37,204,21,3999,0.6,0,1.1,8.7,3,1.4,1.8,0.12,30.75,-2.03,28.72,0.07
